City,Price,Price_clean
Trece Martires,"₱ 2,917,331",2917331.0
Trece Martires,"₱ 5,486,400",5486400.0
Trece Martires,"₱ 5,486,400",5486400.0
Trece Martires,"₱ 88,000,000",88000000.0
Trece Martires,"₱ 2,208,800",2208800.0
Trece Martires,"₱ 5,073,980",5073980.0
Trece Martires,"₱ 5,796,220",5796220.0
Trece Martires,"₱ 4,254,548",4254548.0
Trece Martires,"₱ 5,967,701",5967701.0
Trece Martires,"₱ 2,884,000",2884000.0
Trece Martires,"₱ 5,967,701",5967701.0
Trece Martires,"₱ 4,254,548",4254548.0
Trece Martires,"₱ 4,987,572",4987572.0
Trece Martires,"₱ 1,993,270",1993270.0
Trece Martires,"₱ 2,769,800",2769800.0
Trece Martires,"₱ 2,208,800",2208800.0
Trece Martires,"₱ 5,796,220",5796220.0
Trece Martires,"₱ 4,798,260",4798260.0
Trece Martires,"₱ 2,500,000",2500000.0
Trece Martires,"₱ 2,149,700",2149700.0
Trece Martires,"₱ 3,148,800",3148800.0
Trece Martires,"₱ 3,047,419",3047419.0
Trece Martires,"₱ 1,791,228",1791228.0
Trece Martires,"₱ 3,364,627",3364627.0
Trece Martires,"₱ 4,768,497",4768497.0
Trece Martires,"₱ 850,000",850000.0
Trece Martires,"₱ 5,791,340",5791340.0
Calamba,"₱ 5,430,000",5430000.0
Calamba,"₱ 7,559,056",7559056.0
Calamba,"₱ 7,070,000",7070000.0
Calamba,"₱ 5,650,000",5650000.0
Calamba,"₱ 10,510,000",10510000.0
Calamba,"₱ 4,900,000",4900000.0
Calamba,"₱ 9,210,000",9210000.0
Calamba,"₱ 4,990,000",4990000.0
Calamba,"₱ 15,713,700",15713700.0
Calamba,"₱ 5,841,700",5841700.0
Calamba,"₱ 2,733,210",2733210.0
Calamba,"₱ 2,206,390",2206390.0
Calamba,"₱ 4,884,610",4884610.0
Calamba,"₱ 2,016,120",2016120.0
Calamba,"₱ 3,805,400",3805400.0
Calamba,"₱ 2,201,620",2201620.0
Calamba,"₱ 2,855,110",2855110.0
