Locality,Population,Population density,Accommodation,Agricultural/Plant production,"Art, music, hobbies",Cars,Civic/Amenity,"Clothing, shoes, accessories",Commercial,Common Landuse Key Values - Developed land,Common Landuse Key Values - Rural and agricultural land,"Discount store, charity","Do-it-yourself, household, building materials, gardening",Education,Electronics,"Entertainment, Arts & Culture",Financial,"Food, beverages",Furniture and interior,"General store, department store, mall",Health and beauty,Healthcare,Leisure,Manmade,Military,Office,Other Amenities,Other Buildings,Other Landuse Key Values,"Outdoors and sport, vehicles",Public transport,Religious,Sport,"Stationery, gifts, books, newspapers",Sustenance,Tourism,Transportation
"ABRA, BANGUED",46179,373.4872023,83,0,0,0,9,0,0,4,0,0,1,5,0,0,0,2,0,0,0,2,6,2,0,0,0,13,6,0,0,1,0,0,1,0,4
"ABRA, BOLINEY",3349,18.33776319,13,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0
"ABRA, BUCAY",16266,155.8353587,39,0,0,0,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,2,1,0,0,0,4,3,0,0,1,0,0,0,0,1
"ABRA, BUCLOC",2227,43.43898948,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0
"ABRA, DAGUIOMAN",1916,19.69793669,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"ABRA, DANGLAS",5411,30.82131798,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"ABRA, DOLORES",10787,240.4482237,29,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,1,0,0,0,1
"ABRA, LA PAZ",14658,265.8069608,36,0,0,0,3,0,0,4,1,0,0,1,0,0,0,1,0,0,0,1,2,1,0,0,0,8,3,0,0,0,0,0,0,0,1
"ABRA, LACUB",3050,11.77852945,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0
"ABRA, LAGANGILANG",13490,147.4671367,34,0,0,0,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,9,2,0,0,0,0,0,0,0,1
"ABRA, LAGAYAN",4134,28.69025015,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"ABRA, LANGIDEN",3242,32.87587616,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"ABRA, LICUAN-BAAY",3990,13.05997196,14,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0
"ABRA, LUBA",6363,50.30859795,20,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"ABRA, MALIBCONG",3354,13.87136709,13,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0
"ABRA, MANABO",10538,126.530524,29,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,0,0,0,0,0,0,0,1
"ABRA, PEÑARRUBIA",6443,175.0172893,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"ABRA, PIDIGAN",11280,194.2193977,30,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,6,2,0,0,0,0,0,0,0,1
"ABRA, PILAR",9792,106.3004516,27,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,1,0,0,0,1
"ABRA, SALLAPADAN",6370,57.30514985,20,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,1,0,0,0,0,0,0,0,0
"ABRA, SAN ISIDRO",4647,111.5606137,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"ABRA, SAN JUAN",9714,150.380633,27,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,1
"ABRA, SAN QUINTIN",5341,85.82799637,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"ABRA, TAYUM",13360,289.8817582,34,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,4,2,0,0,0,1,0,0,0,1
"ABRA, TINEG",4317,5.725522735,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0
"ABRA, TUBO",5588,12.75413318,18,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,1,0,0,0,0,0,0,0,0
"ABRA, VILLAVICIOSA",5147,63.23335321,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"AGUSAN DEL NORTE, BUENAVISTA",53059,143.3717813,91,0,0,0,11,0,1,2,1,0,1,6,0,0,0,3,0,0,0,3,6,2,0,0,0,14,7,0,0,1,2,0,0,1,5
"AGUSAN DEL NORTE, BUTUAN CITY",298378,442.5930985,316,0,0,0,68,3,17,42,3,3,6,40,3,2,41,22,1,16,2,19,43,13,0,8,2,573,23,7,0,11,8,2,15,28,39
"AGUSAN DEL NORTE, CABADBARAN CITY",61564,178.1009324,102,0,0,0,13,0,1,4,1,1,1,7,0,0,0,3,0,0,0,3,8,3,0,0,0,21,7,0,0,1,1,0,1,1,5
