cat__team_Alpine Renault,cat__team_Aston Martin Aramco Mercedes,cat__team_Ferrari,cat__team_McLaren,cat__team_McLaren Mercedes,cat__team_McLaren Renault,cat__team_Mercedes,cat__team_Red Bull Racing,cat__team_Red Bull Racing Honda,cat__team_Red Bull Racing Honda RBPT,cat__team_Red Bull Racing RBPT,cat__team_Renault,cat__team_Williams,cat__team_Williams Mercedes,cat__team_infrequent_sklearn,cat__Direction_Anti-clockwise,cat__Direction_Clockwise,num__Consistency_Qual,num__Style_Qual,num__Technical_Qual,num__Pace_Qual,PerformanceIndex_Qual,num__Round,num__year,num__QualifyingPosition,num__Laps,num__Corners,num__Circuit length (km),num__Race distance (km),num__Accident,num__Collision,num__Damage Related,num__Finish,num__Total_Entries,num__Finish_pct,num__Accident_pct,num__Collision_pct,num__Damage Related_pct,num__DNF_pct,num__Race_Complexity_Score,num__Safety_Index,num__mechanical_faults,num__avg_stops_per_car_race,num__avg_pitstop_ms,Actual,Predicted,driver_code,GrandPrix,year,team,RaceFinishPosition
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.463925427,0.79203,0.231651335,0.85,0.584401691,12.0,2025.0,4.0,52.0,18.0,5.891,306.198,6.0,18.0,0.0,130.0,154.0,84.4155844155844,3.896103896103896,11.688311688311687,0.0,15.584415584415597,0.4916883116883117,0.3524675324675324,0.0,1.891619661520753,160011.28021529358,0,0,RUS,British Grand Prix,2025,Mercedes,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.886517599,1.0,0.495195052,0.875,0.814178163,15.0,2025.0,3.0,72.0,14.0,4.259,306.648,2.0,0.0,1.0,45.0,48.0,93.75,4.166666666666666,0.0,2.083333333333333,6.25,0.265,0.6725,0.0,1.891619661520753,160011.28021529358,1,0,VER,Dutch Grand Prix,2025,Red Bull Racing,2.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.948339312,0.5,0.341178682,0.833333333,0.655712832,5.0,2025.0,4.0,50.0,27.0,6.174,308.45,3.0,5.0,0.0,53.0,61.0,86.88524590163934,4.918032786885246,8.19672131147541,0.0,13.114754098360663,0.5322950819672132,0.3365573770491802,0.0,1.891619661520753,160011.28021529358,1,0,LEC,Saudi Arabian Grand Prix,2025,Ferrari,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.913595684,0.429359218,0.393970733,0.708333333,0.611314742,14.0,2025.0,8.0,70.0,14.0,4.381,306.63,4.0,9.0,0.0,90.0,103.0,87.37864077669903,3.883495145631068,8.737864077669903,0.0,12.62135922330097,0.3924271844660194,0.4813592233009709,0.0,1.891619661520753,160011.28021529358,0,0,VER,Hungarian Grand Prix,2025,Red Bull Racing,9.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.199631027,0.30500367,0.75,0.313658674,12.0,2025.0,6.0,52.0,18.0,5.891,306.198,6.0,18.0,0.0,130.0,154.0,84.4155844155844,3.896103896103896,11.688311688311687,0.0,15.584415584415597,0.4916883116883117,0.3524675324675324,0.0,1.891619661520753,160011.28021529358,0,0,LEC,British Grand Prix,2025,Ferrari,14.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.080941288,0.862076865,0.403080251,0.964285714,0.577596029,2.0,2025.0,2.0,56.0,16.0,5.451,305.066,1.0,4.0,0.0,80.0,85.0,94.11764705882352,1.1764705882352942,4.705882352941177,0.0,5.882352941176478,0.2776470588235294,0.6635294117647057,0.0,1.891619661520753,160011.28021529358,1,1,RUS,Chinese Grand Prix,2025,Mercedes,3.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.24796265,0.44296167,0.541666667,0.558147747,14.0,2025.0,12.0,70.0,14.0,4.381,306.63,4.0,9.0,0.0,90.0,103.0,87.37864077669903,3.883495145631068,8.737864077669903,0.0,12.62135922330097,0.3924271844660194,0.4813592233009709,0.0,1.891619661520753,160011.28021529358,0,0,HAM,Hungarian Grand Prix,2025,Ferrari,12.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.124186139,0.410998397,0.215943247,0.966666667,0.429448613,13.0,2025.0,2.0,44.0,19.0,7.004,308.052,8.0,6.0,1.0,163.0,178.0,91.57303370786516,4.49438202247191,3.3707865168539324,0.5617977528089888,8.426966292134836,0.3585393258426967,0.5571910112359548,0.0,1.891619661520753,160011.28021529358,1,1,PIA,Belgian Grand Prix,2025,McLaren,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.996069444,0.527409488,0.44862924,0.954545455,0.731663407,7.0,2025.0,2.0,63.0,19.0,4.909,309.049,1.0,5.0,0.0,46.0,52.0,88.46153846153845,1.9230769230769231,9.615384615384617,0.0,11.538461538461547,0.4207692307692309,0.4638461538461537,0.0,1.891619661520753,160011.28021529358,1,1,VER,Emilia Romagna Grand Prix,2025,Red Bull Racing,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.984313931,0.271616146,0.513233026,0.833333333,0.650624109,13.0,2025.0,6.0,44.0,19.0,7.004,308.052,8.0,6.0,1.0,163.0,178.0,91.57303370786516,4.49438202247191,3.3707865168539324,0.5617977528089888,8.426966292134836,0.3585393258426967,0.5571910112359548,0.0,1.891619661520753,160011.28021529358,0,0,RUS,Belgian Grand Prix,2025,Mercedes,5.0
