Timestamp,driver_code,Consistency_Race,Style_Race,Technical_Race,Pace_Race,PerformanceIndex_Race,Consistency_Qual,Style_Qual,Technical_Qual,Pace_Qual,PerformanceIndex_Qual,GrandPrix,Round,year,QualifyingPosition,RaceFinishPosition,team,driver_points,team_points
11/11/2025 20:10,HAM,0.48710484,0.869993574,0.307712745,0.884615385,0.637356636,0.254063427,0.202592706,0.403173835,0.8,0.414957492,British Grand Prix,12,2025,5,4.0,Ferrari,148.0,362.0
11/11/2025 20:10,LEC,0.5,0.203907269,0.573511629,0.5,0.444354725,0.0,0.199975072,0.30500367,0.75,0.313744685,British Grand Prix,12,2025,6,14.0,Ferrari,214.0,362.0
11/11/2025 20:10,NOR,0.66396276,0.548893058,0.326394795,1.0,0.634812653,0.168949824,0.5,0.417430291,0.9,0.496595029,British Grand Prix,12,2025,3,1.0,McLaren,390.0,756.0
11/11/2025 20:10,PIA,0.459342013,0.382130456,0.708798802,0.961538462,0.627952433,0.340871269,0.202911745,0.19025077,0.95,0.421008446,British Grand Prix,12,2025,2,2.0,McLaren,366.0,756.0
11/11/2025 20:10,RUS,0.480018936,0.531530726,0.402736254,0.653846154,0.517033018,0.463925427,0.79203,0.231651335,0.85,0.584401691,British Grand Prix,12,2025,4,10.0,Mercedes,276.0,398.0
11/11/2025 20:10,SAI,0.72045468,0.0,0.626123734,0.576923077,0.480875373,1.0,0.854459974,0.310061108,0.5,0.66613027,British Grand Prix,12,2025,11,12.0,Williams,38.0,111.0
11/11/2025 20:10,VER,0.709518413,0.664949639,0.407227682,0.846153846,0.656962395,0.994154739,0.11634912,0.342687795,1.0,0.613297913,British Grand Prix,12,2025,1,5.0,Red Bull Racing,341.0,366.0
11/11/2025 20:10,HAM,0.5,0.5,0.585871415,0.823529412,0.602350207,0.998794876,0.236393233,0.267885307,0.5,0.500768354,Belgian Grand Prix,13,2025,16,7.0,Ferrari,148.0,362.0
11/11/2025 20:10,LEC,0.427363475,0.539075458,0.525273447,0.941176471,0.608222213,0.99343378,0.482772875,0.355197852,0.933333333,0.69118446,Belgian Grand Prix,13,2025,3,3.0,Ferrari,214.0,362.0
11/11/2025 20:10,NOR,0.5,0.703039718,0.155079911,0.970588235,0.582176966,0.02934873,1.0,0.452524808,1.0,0.620468384,Belgian Grand Prix,13,2025,1,2.0,McLaren,390.0,756.0
11/11/2025 20:10,PIA,0.544546663,0.602421841,0.638083408,1.0,0.696262978,0.124186139,0.410998397,0.215943247,0.966666667,0.429448613,Belgian Grand Prix,13,2025,2,1.0,McLaren,366.0,756.0
11/11/2025 20:10,RUS,0.459704063,0.378032868,0.528129028,0.882352941,0.562054725,0.984313931,0.271616146,0.513233026,0.833333333,0.650624109,Belgian Grand Prix,13,2025,6,5.0,Mercedes,276.0,398.0
