race_name,Laps,Corners,Circuit length (km),Race distance (km),Direction,Accident,Collision,Damage Related,Finish,Total_Entries,Finish_pct,Accident_pct,Collision_pct,Damage Related_pct,DNF_pct,Race_Complexity_Score,Safety_Index
Australian Grand Prix,58,14,5.303,307.574,Clockwise,6.0,9.0,1.0,87.0,103.0,84.46601941747572,5.825242718446602,8.737864077669903,0.9708737864077669,15.53398058252428,0.45067961165048553,0.3939805825242717
Malaysian Grand Prix,56,15,5.543,310.408,Clockwise,1.0,1.0,0.0,32.0,34.0,94.11764705882352,2.941176470588235,2.941176470588235,0.0,5.882352941176478,0.2676470588235295,0.6735294117647057
Bahrain Grand Prix,57,15,5.412,308.238,Clockwise,1.0,7.0,0.0,113.0,121.0,93.38842975206612,0.8264462809917356,5.785123966942149,0.0,6.611570247933884,0.28223140495867766,0.6516528925619836
Chinese Grand Prix,56,16,5.451,305.066,Clockwise,1.0,4.0,0.0,80.0,85.0,94.11764705882352,1.1764705882352942,4.705882352941177,0.0,5.882352941176478,0.27764705882352947,0.6635294117647057
Spanish Grand Prix,66,14,4.655,307.104,Clockwise,1.0,10.0,0.0,85.0,96.0,88.54166666666666,1.0416666666666665,10.416666666666668,0.0,11.458333333333343,0.3691666666666668,0.5162499999999997
Monaco Grand Prix,78,19,3.337,260.286,Clockwise,11.0,13.0,0.0,98.0,122.0,80.32786885245902,9.01639344262295,10.655737704918032,0.0,19.67213114754098,0.5834426229508196,0.21983606557377056
Canadian Grand Prix,70,14,4.361,305.27,Clockwise,3.0,11.0,0.0,88.0,102.0,86.27450980392157,2.941176470588235,10.784313725490197,0.0,13.725490196078425,0.41450980392156855,0.4482352941176472
Austrian Grand Prix,71,10,4.318,306.452,Clockwise,0.0,8.0,1.0,87.0,96.0,90.625,0.0,8.333333333333332,1.0416666666666665,9.375,0.2875,0.61875
British Grand Prix,52,18,5.891,306.198,Clockwise,6.0,18.0,0.0,130.0,154.0,84.4155844155844,3.896103896103896,11.688311688311687,0.0,15.584415584415595,0.49168831168831173,0.3524675324675324
German Grand Prix,67,17,4.574,306.458,Clockwise,5.0,2.0,0.0,41.0,48.0,85.41666666666666,10.416666666666668,4.166666666666666,0.0,14.583333333333343,0.4616666666666668,0.39249999999999974
Hungarian Grand Prix,70,14,4.381,306.63,Clockwise,4.0,9.0,0.0,90.0,103.0,87.37864077669903,3.8834951456310676,8.737864077669903,0.0,12.62135922330097,0.39242718446601943,0.4813592233009709
Belgian Grand Prix,44,19,7.004,308.052,Clockwise,8.0,6.0,1.0,163.0,178.0,91.57303370786516,4.49438202247191,3.3707865168539324,0.5617977528089888,8.426966292134836,0.3585393258426967,0.5571910112359548
Italian Grand Prix,53,11,5.793,306.72,Clockwise,2.0,6.0,0.0,126.0,134.0,94.02985074626866,1.4925373134328357,4.477611940298507,0.0,5.970149253731336,0.22940298507462678,0.7108955223880599
Singapore Grand Prix,62,19,4.94,306.143,Anti-clockwise,8.0,10.0,0.0,107.0,125.0,85.6,6.4,8.0,0.0,14.400000000000006,0.47800000000000004,0.37799999999999995
Japanese Grand Prix,53,18,5.807,307.471,Clockwise,7.0,5.0,0.0,89.0,101.0,88.11881188118812,6.9306930693069315,4.9504950495049505,0.0,11.881188118811878,0.41762376237623755,0.46356435643564364
Russian Grand Prix,53,18,5.848,309.944,Clockwise,3.0,11.0,0.0,80.0,94.0,85.1063829787234,3.1914893617021276,11.702127659574469,0.0,14.893617021276597,0.47787234042553195,0.3731914893617021
United States Grand Prix,56,20,5.513,308.405,Anti-clockwise,4.0,10.0,1.0,99.0,114.0,86.8421052631579,3.508771929824561,8.771929824561402,0.8771929824561403,13.157894736842096,0.463157894736842,0.4052631578947371
São Paulo Grand Prix,71,15,4.309,305.879,Anti-clockwise,2.0,5.0,0.0,46.0,53.0,86.79245283018868,3.7735849056603774,9.433962264150944,0.0,13.20754716981132,0.41415094339622643,0.4537735849056604
Abu Dhabi Grand Prix,55,16,5.554,305.355,Anti-clockwise,1.0,6.0,0.0,116.0,123.0,94.3089430894309,0.8130081300813009,4.878048780487805,0.0,5.6910569105691025,0.2738211382113821,0.6692682926829269
Mexican Grand Prix,71,17,4.304,305.354,Clockwise,1.0,2.0,0.0,40.0,43.0,93.02325581395348,2.3255813953488373,4.651162790697675,0.0,6.976744186046517,0.30953488372093024,0.6206976744186046
Mexico City Grand Prix,71,17,4.304,305.354,Clockwise,1.0,7.0,0.0,34.0,42.0,80.95238095238095,2.380952380952381,16.666666666666664,0.0,19.04761904761905,0.550952380952381,0.25857142857142856
European Grand Prix,57,25,5.419,308.883,Anti-clockwise,0.0,0.0,0.0,11.0,11.0,100.0,0.0,0.0,0.0,0.0,0.25,0.75
Azerbaijan Grand Prix,51,20,6.003,306.049,Anti-clockwise,6.0,6.0,0.0,90.0,102.0,88.23529411764706,5.88235294117647,5.88235294117647,0.0,11.764705882352942,0.43529411764705883,0.44705882352941173
French Grand Prix,53,15,5.842,309.69,Clockwise,1.0,4.0,1.0,42.0,48.0,87.5,2.083333333333333,8.333333333333332,2.083333333333333,12.5,0.4,0.475
Styrian Grand Prix,71,10,4.318,306.452,Clockwise,0.0,3.0,0.0,12.0,15.0,80.0,0.0,20.0,0.0,20.0,0.5,0.30000000000000004
70th Anniversary GP,52,18,5.891,306.198,Clockwise,,,,,0.0,,,,,,,
Tuscan Grand Prix,59,15,5.245,309.497,Clockwise,0.0,6.0,0.0,12.0,18.0,66.66666666666666,0.0,33.33333333333333,0.0,33.33333333333334,0.8166666666666668,-0.15000000000000024
